name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
new york city,2015-01-28,0.7,-8.2,-4.2,-2.7,-15.8,-9.5,-15.8,40.9,0,0,0,,0.2,8.2,38.9,21.5,318.2,1017.4,9.9,16,138.7,12,6,,2015-01-28T07:09:54,2015-01-28T17:08:28,0.28,Clear,Clear conditions throughout the day.,snow,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-01-29,1.7,-6.6,-2.4,-0.3,-10,-5.2,-11.6,50.3,0,0,0,,0.8,5.4,29.5,16.9,182.7,1023.3,44.3,16,114.2,9.9,5,,2015-01-29T07:09:03,2015-01-29T17:09:42,0.32,Partially cloudy,Becoming cloudy in the afternoon.,snow,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-01-30,3,-6.5,0,2.4,-14.9,-4.7,-6.5,63.3,2.491,100,29.17,"rain,snow",0.5,4.7,60.5,33,302.3,1012.3,74.5,12.5,68.2,5.8,3,,2015-01-30T07:08:09,2015-01-30T17:10:56,0.35,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,snow,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-01-31,-3.3,-10.5,-6.9,-9.4,-20,-14.5,-17.5,43.3,0,0,0,,0,4.1,61,34.5,308.7,1019.7,3.9,16,151.8,13,6,,2015-01-31T07:07:14,2015-01-31T17:12:10,0.39,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-02-01,2.1,-6.5,-1.2,1.7,-12.4,-4,-9.3,54.7,0.408,100,4.17,"rain,snow",0.8,3.9,33.5,16.6,255.9,1021.2,74.1,14.5,99.1,8.6,4,,2015-02-01T07:06:17,2015-02-01T17:13:24,0.42,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,snow,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-02-02,0.7,-9.7,-2.9,-2.6,-18.1,-8.4,-5.4,83,26.69,100,75,"rain,snow",0.8,4.9,50.6,28.4,22.6,1003.5,91.3,6.3,20.1,1.7,1,,2015-02-02T07:05:18,2015-02-02T17:14:39,0.46,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-02-03,-3.8,-10.3,-6.8,-6.1,-20.2,-12.6,-13.5,59.4,0,0,0,,0.2,5.3,53.3,37.1,282.4,1022.7,11.5,14.8,142.3,12.3,6,,2015-02-03T07:04:18,2015-02-03T17:15:53,0.5,Clear,Clear conditions throughout the day.,snow,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-02-04,5.5,-4,1.1,5.3,-8,-1.1,-6.4,57.6,0,0,0,,15.9,14.6,,15,222.6,1021.1,71.7,14.9,137.7,11.7,6,,2015-02-04T07:03:16,2015-02-04T17:17:07,0.52,Partially cloudy,Partly cloudy throughout the day.,snow,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-02-05,4.9,-9.3,-1.5,4.2,-17.4,-6.8,-11.2,48.4,0,0,0,,0,18.2,55.6,40.7,321.5,1015.9,54.5,15.9,89.6,7.8,3,,2015-02-05T07:02:13,2015-02-05T17:18:22,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,KNYC,72503014732"
new york city,2015-02-06,-2.8,-11,-6.9,-3.7,-18.2,-12.8,-17.4,43.6,0,0,0,,0,10,43,22.3,281.3,1022.3,22.3,16,142,12.3,6,,2015-02-06T07:01:08,2015-02-06T17:19:36,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,KNYC,72503014732"
